Name,Genre,Platform,Publisher
TimeSplitters 2,Shooter,GameCube,Eidos Interactive
Battlebots: Design & Destroy,Action,Game Boy Advance,Majesco Entertainment
Devil May Cry HD Collection,Action,Xbox 360,Capcom
Eternal Darkness: Sanity's Requiem,Adventure,GameCube,Nintendo
Power Rangers: S.P.D.,Action,Game Boy Advance,THQ
Naruto: Ultimate Ninja 3,Fighting,PlayStation 2,Atari
SingStar Motown,Misc,PlayStation 2,Sony Computer Entertainment
Neon Genesis Evangelion,Adventure,Sega Saturn,Sega
Nicktoons: Attack of the Toybots,Platform,Nintendo Wii,THQ
Mobile Suit Gundam: One Year War,Action,PlayStation 2,Namco Bandai Games
Tongari Boushi to Mahou no Otana,Simulation,Nintendo DS,Konami Digital Entertainment
NFL Blitz 20-03,Sports,PlayStation 2,Midway Games
Just Dance: Summer Party,Misc,Nintendo Wii,Ubisoft
SpongeBob's Atlantis SquarePantis,Action,PlayStation 2,THQ
Dragon Ball Z: Shin Budokai - Another Road,Fighting,PlayStation Portable,Atari
Master of Illusion,Puzzle,Nintendo DS,Nintendo
Star Wars: Jedi Starfighter,Simulation,Xbox,Activision
Remington Great American Bird Hunt,Sports,Nintendo Wii,Mastiff
Classic NES Series: Metroid,Adventure,Game Boy Advance,Nintendo
Alpha Protocol,Role-Playing,PlayStation 3,Sega
Tetris Axis,Puzzle,Nintendo 3DS,Tetris Online
Dora the Explorer: Dora Puppy,Misc,Nintendo DS,Take-Two Interactive
Primal,Action,PlayStation 2,Sony Computer Entertainment
Madden NFL 2002,Sports,Nintendo 64,Electronic Arts
Need for Speed Underground 2,Racing,Game Boy Advance,Electronic Arts
007: Quantum of Solace,Action,PlayStation 2,Activision
Spec Ops: Covert Assault,Shooter,PlayStation,Take-Two Interactive
SSX Tricky,Sports,Xbox,Electronic Arts
Flight Control Rocket,Simulation,Game Boy Advance,THQ
FIFA 14,Sports,PC,Electronic Arts
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Action,PlayStation 2,Disney Interactive Studios
Trials Fusion,Racing,PlayStation 4,Ubisoft
Wheel of Fortune,Misc,Nintendo DS,THQ
NiGHTS into dreams...,Platform,Sega Saturn,Sega
NCAA Football 2004,Sports,Xbox,Electronic Arts
Overwatch,Shooter,PC,Activision
Rock Band 4,Misc,Xbox One,Harmonix Music Systems
NBA Jam,Sports,Nintendo Wii,Electronic Arts
Bionicle,Action,PlayStation 2,Electronic Arts
Minecraft,Misc,Wii U,Microsoft Game Studios
MLB 2002,Sports,PlayStation,Sony Computer Entertainment
Sleeping Dogs,Action,PlayStation 4,Square Enix
TimeSplitters,Shooter,PlayStation 2,Eidos Interactive
Barnstorming,Action,Atari 2600,Activision
InuYasha: The Secret of the Cursed Mask,Role-Playing,PlayStation 2,Namco Bandai Games
Rune Factory 3: A Fantasy Harvest Moon,Role-Playing,Nintendo DS,Rising Star Games
The Powerpuff Girls: Him and Seek,Platform,Game Boy Advance,BAM! Entertainment
Mega Man Zero 2,Platform,Game Boy Advance,Capcom
Wonder Project J: Kikai no Shonen Pino,Simulation,Super Nintendo Entertainment System,Enix Corporation
2010 FIFA World Cup South Africa,Sports,Nintendo Wii,Electronic Arts
Atelier Totori: The Adventurer of Arland,Role-Playing,PlayStation 3,Nippon Ichi Software
Spec Ops: The Line,Shooter,Xbox 360,Take-Two Interactive
The Fairly Odd Parents: Game Boy Advance Video Volume 1,Misc,Game Boy Advance,
Ghostbusters: The Video Game,Action,PlayStation 2,Atari
Hunter: The Reckoning  Wayward,Action,PlayStation 2,Interplay
How to Train Your Dragon,Action,Nintendo Wii,Activision
Command & Conquer 3: Tiberium Wars,Strategy,Xbox 360,Electronic Arts
WipEout 64,Racing,Nintendo 64,Midway Games
Mischief Makers,Platform,Nintendo 64,Nintendo
Max Payne 3,Shooter,PC,Take-Two Interactive
Petz Bunnyz,Simulation,Nintendo DS,Ubisoft
Castlevania: Portrait of Ruin,Platform,Nintendo DS,Konami Digital Entertainment
NHL Slapshot,Sports,Nintendo Wii,Unknown
EyeToy: AntiGrav,Sports,PlayStation 2,Sony Computer Entertainment
FIFA 14,Sports,Nintendo Wii,Electronic Arts
EverQuest Online Adventures,Role-Playing,PlayStation 2,Sony Online Entertainment
Cool Boarders,Sports,PlayStation,Sony Computer Entertainment
"999: Nine Hours, Nine Persons, Nine Doors",Adventure,Nintendo DS,ChunSoft
Mobile Suit Gundam: Zeonic Front,Simulation,PlayStation 2,Namco Bandai Games
Zone of the Enders HD Collection,Simulation,PlayStation 3,Konami Digital Entertainment
Def Jam Icon,Action,PlayStation 3,Electronic Arts
Tales of the World: Radiant Mythology,Role-Playing,PlayStation Portable,Ubisoft
Monopoly,Misc,PlayStation 2,Electronic Arts
Dawn of Mana,Role-Playing,PlayStation 2,Square Enix
Microsoft Flight Simulator X,Simulation,PC,Microsoft Game Studios
Lego Batman 3: Beyond Gotham,Action,Xbox One,Warner Bros. Interactive Entertainment
Madden NFL 2003,Sports,GameCube,Electronic Arts
NASCAR Kart Racing,Racing,Nintendo Wii,Electronic Arts
Disney Sing It,Misc,Xbox 360,Disney Interactive Studios
Backyard Baseball,Sports,Game Boy Advance,Atari
Call of Duty: Black Ops II,Shooter,Wii U,Activision
TRON: Evolution,Action,PlayStation 3,Disney Interactive Studios
Midway Arcade Treasures,Misc,Xbox,Midway Games
Call of Duty: Modern Warfare: Mobilized,Shooter,Nintendo DS,Activision
Petz: Horsez 2,Simulation,Nintendo Wii,Ubisoft
The Smurfs,Action,Nintendo DS,Ubisoft
Bakugan: Battle Brawlers,Action,PlayStation 2,Activision
NHL FaceOff 99,Sports,PlayStation,989 Studios
Skylanders: Trap Team,Action,PlayStation 4,Activision
SEGA Classics Collection,Misc,PlayStation 2,Sega
Pirates of the Caribbean: At World's End,Action,PlayStation Portable,Disney Interactive Studios
Juiced: Eliminator,Racing,PlayStation Portable,THQ
Naruto: Ninja Council 3,Action,Nintendo DS,D3Publisher
Neon Genesis Evangelion 2nd Impression,Role-Playing,Sega Saturn,Sega
Dai-2-Ji Super Robot Taisen Z: Hakai-hen,Strategy,PlayStation Portable,Banpresto
NBA Street,Sports,GameCube,Electronic Arts
Ben 10 Alien Force: Vilgax Attacks,Action,Nintendo DS,D3Publisher
Ben 10 Alien Force: Vilgax Attacks,Action,PlayStation Portable,D3Publisher
Valkyrie Profile: Covenant of the Plume,Role-Playing,Nintendo DS,Square Enix
The Legend of Spyro: The Eternal Night,Platform,PlayStation 2,Vivendi Games
Mega Man Battle Network,Role-Playing,Game Boy Advance,Capcom
LEGO Rock Band,Misc,PlayStation 3,Warner Bros. Interactive Entertainment
25 to Life,Shooter,PlayStation 2,Eidos Interactive
NHL 2K6,Sports,PlayStation 2,Take-Two Interactive
Medal of Honor: Rising Sun,Shooter,GameCube,Electronic Arts
The Sims,Simulation,Xbox,Electronic Arts
Guitar Hero: Smash Hits,Misc,Xbox 360,Activision
Dog's Life,Adventure,PlayStation 2,Sony Computer Entertainment
The X Files,Adventure,PlayStation,Sony Computer Entertainment
Super Wagyan Land,Action,Super Nintendo Entertainment System,Namco Bandai Games
Rascal,Action,PlayStation,Psygnosis
Hometown Story,Role-Playing,Nintendo 3DS,Rising Star Games
Tony Hawk's American Wasteland,Sports,GameCube,Activision
Top Spin 4,Sports,Xbox 360,Take-Two Interactive
Famicom Mini: Super Mario Bros. 2,Platform,Game Boy Advance,Nintendo
Crash: Mind Over Mutant,Platform,Nintendo DS,Vivendi Games
Medal of Honor Heroes 2,Shooter,Nintendo Wii,Electronic Arts
Yu-Gi-Oh! GX: Tag Force 2,Strategy,PlayStation Portable,Konami Digital Entertainment
Colony Wars,Simulation,PlayStation,Psygnosis
All-Star Baseball 2004,Sports,PlayStation 2,Acclaim Entertainment
Big Strike Bowling,Sports,PlayStation,Gotham Games
Ragnarok Odyssey,Role-Playing,PlayStation Vita,GungHo
Harry Potter and the Deathly Hallows - Part 1,Action,Nintendo DS,Electronic Arts
Horsez,Simulation,Nintendo DS,Ubisoft
SpongeBob's Truth or Square (US sales),Action,Nintendo DS,THQ
NASCAR Thunder 2002,Racing,PlayStation,Electronic Arts
Grandia,Role-Playing,Sega Saturn,ESP
ESPN NHL 2K5,Sports,Xbox,Global Star
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,Misc,Game Boy Advance,Konami Digital Entertainment
Hot Wheels World Race,Racing,PlayStation 2,THQ
Avatar: The Last Airbender - The Burning Earth,Action,PlayStation 2,THQ
Superman: Shadow of Apokolips,Action,PlayStation 2,Atari
NiGHTS: Journey of Dreams,Platform,Nintendo Wii,Sega
American Chopper,Racing,PlayStation 2,Zoo Digital Publishing
Vanquish,Shooter,Xbox 360,Sega
Star Wars Trilogy: Apprentice of the Force,Action,Game Boy Advance,Ubisoft
Marvel Super Hero Squad,Fighting,Nintendo DS,THQ
Lemony Snicket's A Series of Unfortunate Events,Platform,Game Boy Advance,Activision
JGTC: All-Japan Grand Touring Car Championship,Racing,PlayStation,TYO
NBA Live 06,Sports,PlayStation Portable,Electronic Arts
Arc the Lad III,Role-Playing,PlayStation,Sony Computer Entertainment
Solitaire Overload,Misc,Nintendo DS,Telegames
Mobile Suit Gundam: Gundam vs. Gundam,Fighting,PlayStation Portable,Namco Bandai Games
Test Drive,Racing,Xbox,Atari
Jikkyou Powerful Pro Yakyuu 11,Sports,PlayStation 2,Konami Digital Entertainment
Ghost Trick: Phantom Detective,Adventure,Nintendo DS,Capcom
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Action,PlayStation 2,THQ
Rush 2: Extreme Racing USA,Racing,Nintendo 64,Midway Games
NFL Blitz 2001,Sports,Nintendo 64,Midway Games
Dr. Mario 64,Puzzle,Nintendo 64,Nintendo
Jikkyou Powerful Pro Yakyuu 6,Sports,Nintendo 64,Konami Digital Entertainment
Army Men: Sarge's Heroes 2,Shooter,Nintendo 64,3DO
James Bond 007: Everything or Nothing,Shooter,GameCube,Electronic Arts
Green Day: Rock Band,Misc,PlayStation 3,MTV Games
Wolfenstein: The Old Blood,Action,PlayStation 4,Bethesda Softworks
MLB 08: The Show,Sports,PlayStation 2,Sony Computer Entertainment
Disney Infinity 2.0: Marvel Super Heroes,Action,Xbox One,Disney Interactive Studios
Dance Dance Revolution Ultramix 2,Simulation,Xbox,Konami Digital Entertainment
Mega Man Anniversary Collection,Platform,GameCube,Capcom
Blazing Angels: Squadrons of WWII,Simulation,Xbox 360,Ubisoft
Super Famista 4,Sports,Super Nintendo Entertainment System,Namco Bandai Games
The Fairly Odd Parents: Game Boy Advance Video Volume 2,Misc,Game Boy Advance,
Cabela's Legendary Adventures,Sports,PlayStation 2,Activision
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,Misc,Nintendo DS,Namco Bandai Games
Harry Potter and the Goblet of Fire,Action,GameCube,Electronic Arts
JumpStart: Escape from Adventure Island,Adventure,Nintendo Wii,Knowledge Adventure
Thrillville: Off the Rails,Strategy,PlayStation 2,LucasArts
Style Lab: Makeover,Simulation,Nintendo DS,Ubisoft
Condemned: Criminal Origins,Action,Xbox 360,Sega
Mega Man X6,Action,PlayStation,Capcom
Monster Jam: Urban Assault,Racing,Nintendo Wii,Activision
BloodRayne,Shooter,PlayStation 2,Universal Interactive
Kumamon Bomber: Puzzle de Kumamon Taisou,Puzzle,GameCube,Sega
Castlevania: Curse of Darkness,Action,PlayStation 2,Konami Digital Entertainment
Tom Clancy's HAWX 2,Action,PlayStation 3,Ubisoft
Harvest Moon: Grand Bazaar,Simulation,Nintendo DS,Rising Star Games
International Superstar Soccer Pro '98,Sports,PlayStation,Konami Digital Entertainment
Jimmy Neutron: Boy Genius,Platform,Game Boy Advance,THQ
Black,Shooter,Xbox,Electronic Arts
Zack & Wiki: Quest for Barbaros' Treasure,Adventure,Nintendo Wii,Nintendo
Double Pack: Finding Nemo / The Incredibles,Action,Xbox,THQ
Star Wars The Clone Wars: Republic Heroes,Action,PlayStation Portable,LucasArts
NBA 2K11,Action,PlayStation Portable,Take-Two Interactive
Animal Crossing: Amiibo Festival,Misc,Wii U,Nintendo
Hyrule Warriors,Action,Nintendo 3DS,Nintendo
Harry Potter and the Deathly Hallows - Part 1,Action,PlayStation 3,Electronic Arts
Fishing Resort,Sports,Nintendo Wii,Namco Bandai Games
WWE All Stars,Fighting,PlayStation 3,THQ
Lord of the Rings: The Third Age,Role-Playing,Xbox,Electronic Arts
Football Manager Handheld 2011,Sports,PlayStation Portable,Sega
Pirates of the Caribbean: At World's End,Action,PlayStation 2,Disney Interactive Studios
Mega Man Legends 2,Adventure,PlayStation,Capcom
X-Men vs. Street Fighter,Fighting,PlayStation,Capcom
High Rollers Casino,Misc,PlayStation 2,Mud Duck Productions
Castlevania: The Dracula X Chronicles,Platform,PlayStation Portable,Konami Digital Entertainment
The Suffering,Action,PlayStation 2,Midway Games
Cyber Troopers Virtual-On,Fighting,Sega Saturn,Sega
Katamari Forever,Puzzle,PlayStation 3,Namco Bandai Games
Star Wars Starfighter: Special Edition,Simulation,Xbox,LucasArts
TimeShift,Shooter,Xbox 360,Vivendi Games
NBA Jam,Sports,PlayStation 2,Acclaim Entertainment
Zone of the Enders: The 2nd Runner,Simulation,PlayStation 2,Konami Digital Entertainment
Ghostbusters: The Video Game,Action,Nintendo DS,Atari
Attack on Titan: Humanity in Chains,Action,Nintendo 3DS,Screenlife
Jampack Spring 2004 (RP-T),Misc,PlayStation 2,Sony Computer Entertainment
Dexter's Laboratory Deesaster Strikes,Adventure,Game Boy Advance,BAM! Entertainment
NFL GameDay 2004,Sports,PlayStation 2,Sony Computer Entertainment
Scooby-Doo and the Cyber Chase,Adventure,Game Boy Advance,Ubisoft
Danganronpa: Trigger Happy Havoc,Misc,PlayStation Vita,Nippon Ichi Software
TERA,Role-Playing,PC,Unknown
Tomb Raider: The Last Revelation,Action,PC,Eidos Interactive
pro evolution soccer 2011,Sports,PlayStation 2,Konami Digital Entertainment
Sega Rally Championship 2,Racing,Dreamcast,Sega
Quake II,Shooter,PlayStation,Activision
Crash of the Titans,Action,PlayStation 2,Vivendi Games
BioShock,Shooter,PC,Take-Two Interactive
Cars: Mater-National Championship,Racing,PlayStation 3,THQ
MLB 10: The Show,Sports,PlayStation 2,Sony Computer Entertainment
Wheel of Fortune: 2nd Edition,Misc,PlayStation,Hasbro Interactive
Tom Clancy's Rainbow Six: Lockdown,Shooter,Xbox,Ubisoft
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,Fighting,PlayStation Portable,Namco Bandai Games
Cool Boarders 2001,Sports,PlayStation,Sony Computer Entertainment
Grudge Warriors,Action,PlayStation,Take-Two Interactive
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,Sports,PlayStation,Konami Digital Entertainment
Destiny: The Taken King,Shooter,PlayStation 3,Activision
Mobile Suit Gundam,Action,Sega Saturn,Namco Bandai Games
Mass Effect Trilogy,Action,Xbox 360,Electronic Arts
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Shooter,PlayStation Portable,Activision
Wolfenstein: The New Order,Shooter,Xbox 360,Bethesda Softworks
James Patterson Women's Murder Club: Games of Passion,Adventure,Nintendo DS,THQ
Farming Simulator 2015,Simulation,Xbox 360,Koch Media
Jimmy Neutron: Boy Genius,Platform,PlayStation 2,THQ
Itadaki Street DS,Misc,Nintendo DS,Square Enix
Castlevania: Order of Ecclesia,Platform,Nintendo DS,Konami Digital Entertainment
BlazBlue: Continuum Shift,Fighting,PlayStation 3,PQube
X-Men: The Official Game,Action,PlayStation 2,Activision
300: March to Glory,Action,PlayStation Portable,Warner Bros. Interactive Entertainment
E0: Enemy Zero,Adventure,Sega Saturn,Sega
Nicktoons: Unite!,Adventure,PlayStation 2,THQ
Six Flags Fun Park,Misc,Nintendo Wii,Ubisoft
Spore Hero,Simulation,Nintendo Wii,Electronic Arts
Mass Effect Trilogy,Action,PlayStation 3,Electronic Arts
NASCAR Racing,Racing,PlayStation,Pioneer LDC
LEGO Jurassic World,Action,PlayStation Vita,Warner Bros. Interactive Entertainment
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Misc,Nintendo Wii,Hudson Soft
Up,Action,PlayStation Portable,THQ
Spider-Man: Web of Shadows,Action,Xbox 360,Activision
Boku no Natsuyasumi 2: Umi no Bouken Hen,Adventure,PlayStation 2,Sony Computer Entertainment
SpongeBob SquigglePants,Misc,Nintendo Wii,THQ
Cars: Race-O-Rama,Racing,PlayStation Portable,THQ
Fantastic Pets,Simulation,Xbox 360,THQ
Command & Conquer: Red Alert,Strategy,PlayStation,Virgin Interactive
Star Wars The Clone Wars: Republic Heroes,Action,Nintendo DS,LucasArts
Dig Dug,Puzzle,Nintendo Entertainment System,Namco Bandai Games
Ogre Battle 64: Person of Lordly Caliber,Role-Playing,Nintendo 64,Nintendo
Superman: The New Superman Adventures,Action,Nintendo 64,Titus
UEFA Euro 2008 Austria-Switzerland,Sports,PlayStation 3,Electronic Arts
The Terminator: Dawn of Fate,Action,PlayStation 2,Atari
The LEGO Movie Videogame,Action,PlayStation Vita,Warner Bros. Interactive Entertainment
Rogue Galaxy: Director's Cut,Role-Playing,PlayStation 2,Sony Computer Entertainment
Armored Core,Simulation,PlayStation,Sony Computer Entertainment
Monster Trucks Mayhem,Racing,Nintendo Wii,Zoo Games
Winter Sports 2: The Next Challenge,Sports,Nintendo Wii,RTL
Green Day: Rock Band,Misc,Xbox 360,MTV Games
Densha De Go! 2,Simulation,PlayStation,Taito
Transformers: Fall of Cybertron,Action,PlayStation 3,Activision
Call of Duty: Advanced Warfare,Shooter,PC,Activision
Disney Princess: Enchanting Storybooks,Misc,Nintendo Wii,THQ
Monopoly Streets,Misc,PlayStation 3,Electronic Arts
Band Hero,Misc,PlayStation 2,Activision
The Wonderful 101,Action,Wii U,Nintendo
No More Heroes 2: Desperate Struggle,Action,Nintendo Wii,Rising Star Games
Battlefield 2: Modern Combat,Shooter,Xbox 360,Electronic Arts
Armored Core 2: Another Age,Simulation,PlayStation 2,Metro 3D
Buzz! Junior: Jungle Party,Misc,PlayStation 2,Sony Computer Entertainment
Mortal Kombat: Deadly Alliance,Fighting,GameCube,Midway Games
Marvel: Ultimate Alliance,Role-Playing,Nintendo Wii,Activision
NBA 2K11,Action,PlayStation 2,Take-Two Interactive
AKB1/48: Idol to Koishitara...,Misc,PlayStation Portable,Namco Bandai Games
Pro Pinball,Misc,PlayStation,Empire Interactive
'98 Koshien,Sports,PlayStation,Magical Company
NBA 2K9,Sports,PlayStation 2,Take-Two Interactive
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),Misc,Game Boy Advance,Konami Digital Entertainment
Speed Racer: The Videogame,Racing,Nintendo Wii,Warner Bros. Interactive Entertainment
Naughty Bear,Action,Xbox 360,505 Games
Littlest Pet Shop,Simulation,Nintendo Wii,Electronic Arts
TNA iMPACT!,Fighting,PlayStation 3,Midway Games
Just Dance Kids 2,Misc,Xbox 360,Ubisoft
Duke Nukem Forever,Shooter,PC,Take-Two Interactive
Hatsune Miku: Project Diva 2nd,Misc,PlayStation Portable,Sega
Marvel: Ultimate Alliance 2,Role-Playing,PlayStation 2,Activision
Mario no Super Picross,Puzzle,Super Nintendo Entertainment System,Nintendo
"Ed, Edd n Eddy: The Mis-Edventures",Platform,PlayStation 2,Midway Games
Jikkyou Powerful Pro Yakuu '94,Sports,Super Nintendo Entertainment System,Konami Digital Entertainment
Disney's Tarzan Untamed,Platform,PlayStation 2,Ubisoft
Borderlands: The Handsome Collection,Shooter,Xbox One,Take-Two Interactive
The Gunstringer,Shooter,Xbox 360,Microsoft Game Studios
Knockout Kings 2001,Fighting,PlayStation,Electronic Arts
From Russia With Love,Action,PlayStation 2,Electronic Arts
FIFA Soccer 13,Action,PC,Electronic Arts
Asura's Wrath,Action,PlayStation 3,Capcom
Avatar: The Game,Action,Nintendo DS,Ubisoft
My Virtual Tutor: Reading Adventure First to Second Grade,Misc,Nintendo DS,Mentor Interactive
Minority Report: Everybody Runs,Action,PlayStation 2,Activision
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,Misc,PlayStation,Sony Computer Entertainment
NFL GameDay 2002,Sports,PlayStation,Sony Computer Entertainment
Pengo,Adventure,Atari 2600,Atari
Disney Sing It! High School Musical 3: Senior Year,Misc,PlayStation 3,Disney Interactive Studios
Story of Seasons,Simulation,Nintendo 3DS,Nintendo
Beowulf: The Game,Action,Xbox 360,Ubisoft
Mouse Trap,Action,Atari 2600,Coleco
Super Monkey Ball: Step & Roll,Action,Nintendo Wii,Sega
Hatsune Miku: Project Diva F 2nd,Misc,PlayStation Vita,Sega
Overlord,Strategy,Xbox 360,Codemasters
Tak and the Power of Juju,Platform,GameCube,THQ
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Action,PlayStation 3,Activision
Sega Superstars Tennis,Sports,PlayStation 3,Sega
LEGO Harry Potter: Years 5-7,Action,Nintendo 3DS,Warner Bros. Interactive Entertainment
Dragon Quest X,Role-Playing,Wii U,Square Enix
Wall-E,Platform,PlayStation 3,THQ
Medarot: Kabuto / Kuwagata Version,Role-Playing,Game Boy,Imagineer
NBA 2K10,Sports,PlayStation 2,Take-Two Interactive
Defender,Misc,PlayStation 2,Midway Games
NFL GameDay 2003,Sports,PlayStation 2,Unknown
WipeOut 3 The Game,Action,Nintendo Wii,Activision
Taiko no Tatsujin Wii: Dodon to 2 Yome!,Misc,Nintendo Wii,Namco Bandai Games
Thief (2014),Action,PlayStation 3,Square Enix
Congo Bongo,Action,Atari 2600,Sega
Gauntlet: Seven Sorrows,Role-Playing,PlayStation 2,Midway Games
Harry Potter: Quidditch World Cup,Sports,GameCube,Electronic Arts
Advance Wars: Dual Strike,Strategy,Nintendo DS,Nintendo
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,Action,Nintendo DS,Konami Digital Entertainment
Warriors Orochi 2 (JP sales),Action,PlayStation 2,Tecmo Koei
WWE SmackDown! vs. RAW 2006,Fighting,PlayStation Portable,THQ
The Chronicles of Narnia: Prince Caspian,Action,PlayStation 2,Disney Interactive Studios
The Incredibles: Rise of the Underminer,Action,Game Boy Advance,THQ
Pet in TV,Strategy,PlayStation,Sony Computer Entertainment
Battalion Wars,Strategy,GameCube,Nintendo
NBA ShootOut 2000,Sports,PlayStation,989 Studios
Power Rangers: Dino Thunder,Action,GameCube,THQ
Rocksmith 2014,Misc,Xbox One,Ubisoft
Samurai Shodown,Fighting,Super Nintendo Entertainment System,Takara
NHL 15,Sports,Xbox One,Electronic Arts
TMNT,Action,Nintendo Wii,Ubisoft
Final Fantasy Crystal Chronicles: The Crystal Bearers,Action,Nintendo Wii,Square Enix
Cabela's Big Game Hunter 2010,Sports,PlayStation 3,Activision Value
EA Sports UFC 2,Sports,Xbox One,Electronic Arts
Fighting Vipers,Fighting,Sega Saturn,Sega
NCAA GameBreaker 2000,Sports,PlayStation,989 Studios
Iron Man 2,Action,PlayStation 3,Sega
The Legend of Spyro: Dawn of the Dragon,Platform,PlayStation 2,Vivendi Games
AKB1/48: Idol to Guam de Koishitara...,Misc,PlayStation Portable,Namco Bandai Games
RR64: Ridge Racer 64,Racing,Nintendo 64,Nintendo
Top Gear Rally,Racing,Nintendo 64,Kemco
NFL Quarterback Club 2000,Sports,Nintendo 64,Acclaim Entertainment
Mortal Kombat Mythologies: Sub-Zero,Fighting,Nintendo 64,Midway Games
18 Wheeler: American Pro Trucker,Racing,PlayStation 2,Acclaim Entertainment
Atari Anthology,Misc,PlayStation 2,Atari
Bugs Bunny: Lost in Time,Platform,PlayStation,Infogrames
NBA Jam,Sports,Xbox 360,Electronic Arts
Sherlock Holmes: The Mystery of the Mummy,Adventure,Nintendo DS,Focus Home Interactive
Hot Wheels: Beat That!,Racing,PlayStation 2,Activision
MLB 2006,Sports,PlayStation 2,Sony Computer Entertainment
Star Wars The Clone Wars: Republic Heroes,Action,Xbox 360,LucasArts
Brunswick Pro Bowling,Sports,PlayStation 2,505 Games
Mafia II,Action,PC,Take-Two Interactive
Rocket Power: Dream Scheme,Action,Game Boy Advance,THQ
SpongeBob's Truth or Square (US sales),Action,Nintendo Wii,THQ
MX vs. ATV Unleashed,Racing,Xbox,THQ
Rampage: Total Destruction,Action,GameCube,Midway Games
Planet 51,Action,Nintendo DS,Sega
The Urbz: Sims in the City,Simulation,GameCube,Electronic Arts
Road Rash: Jailbreak,Racing,PlayStation,Electronic Arts
Mother 3,Role-Playing,Game Boy Advance,Nintendo
Nicktoons: Freeze Frame Frenzy,Action,Game Boy Advance,THQ
Diner Dash: Sizzle & Serve,Puzzle,Nintendo DS,Eidos Interactive
Rapala Pro Bass Fishing 2010,Sports,Xbox 360,Activision
Legends of WrestleMania,Fighting,Xbox 360,THQ
Wii Sports Club,Sports,Wii U,Nintendo
Tomb Raider: Anniversary,Action,Xbox 360,Eidos Interactive
You Don't Know Jack,Misc,PlayStation,Vivendi Games
Mystery Dungeon: Shiren the Wanderer,Role-Playing,Super Nintendo Entertainment System,ChunSoft
Sonic Lost World,Platform,Wii U,Sega
Condemned 2: Bloodshot,Action,PlayStation 3,Sega
Silent Hill: Homecoming,Action,PlayStation 3,Konami Digital Entertainment
Star Wars: Clone Wars,Shooter,GameCube,Activision
NBA Live 2002,Sports,Xbox,Electronic Arts
Boku no Natsuyasumi,Adventure,PlayStation,Sony Computer Entertainment
Armored Core V,Simulation,PlayStation 3,Namco Bandai Games
I-Ninja,Platform,PlayStation 2,Sony Computer Entertainment
Command & Conquer,Strategy,PlayStation,Virgin Interactive
Harvest Moon: Save the Homeland,Simulation,PlayStation 2,Unknown
NBA Jam,Sports,PlayStation 3,Electronic Arts
Mass Effect 2,Role-Playing,PC,Electronic Arts
SD Gundam G Generation Seed,Strategy,PlayStation 2,Namco Bandai Games
Call of Duty: Finest Hour,Shooter,GameCube,Activision
Scooby-Doo! and the Spooky Swamp,Action,Nintendo DS,Warner Bros. Interactive Entertainment
Naruto: Path of the Ninja,Role-Playing,Nintendo DS,D3Publisher
Rise of the Tomb Raider,Adventure,Xbox 360,Square Enix
Hitman: Blood Money,Action,Xbox 360,Eidos Interactive
Tales of Phantasia,Role-Playing,Super Nintendo Entertainment System,Namco Bandai Games
Alpha Protocol,Role-Playing,Xbox 360,Sega
Suzuki TT Superbikes,Racing,PlayStation 2,Jester Interactive
Rumble Roses,Fighting,PlayStation 2,Konami Digital Entertainment
Just Dance 2014,Misc,PlayStation 3,Ubisoft
Fantastic Four: Rise of the Silver Surfer,Action,PlayStation 2,Take-Two Interactive
Ultimate Spider-Man,Action,Xbox,Activision
GRID 2,Racing,PlayStation 3,Codemasters
LEGO The Lord of the Rings,Action,Nintendo 3DS,Warner Bros. Interactive Entertainment
Juiced 2: Hot Import Nights,Racing,PlayStation 2,THQ
Skylanders: SuperChargers,Action,PlayStation 3,Activision
NHL 99,Sports,Nintendo 64,Electronic Arts
NBA 2K10,Sports,Nintendo Wii,Take-Two Interactive
Dungeon Siege III,Role-Playing,PlayStation 3,Square Enix
Viking: Battle for Asgard,Action,PlayStation 3,Sega
Brunswick Pro Bowling,Sports,Nintendo Wii,505 Games
Monster Jam: Urban Assault,Racing,Nintendo DS,Activision
Danball Senki,Role-Playing,PlayStation Portable,Level 5
NASCAR Heat,Racing,PlayStation,Hasbro Interactive
Bloody Roar,Fighting,PlayStation,Virgin Interactive
Bump 'n' Jump,Racing,Atari 2600,Mattel Interactive
Mobile Suit Gundam: Lost War Chronicles,Shooter,PlayStation 2,Namco Bandai Games
Disney's Brother Bear,Action,Game Boy Advance,THQ
Naruto: Clash of Ninja Revolution 2,Fighting,Nintendo Wii,Tomy Corporation
NBA Live 09,Sports,PlayStation 2,Electronic Arts
