Make,Model,baseModel,Year
Ford,Escort,Escort,2013
Mazda,MPV,MPV,2013
Kia,Sephia,Sephia,2013
BMW,750il,7 Series,2013
Plymouth,Voyager/Grand Voyager 2WD,Voyager/Grand Voyager,2013
Hyundai,Sonata,Sonata,2013
Mitsubishi,Mirage,Mirage,2013
Dodge,Intrepid,Intrepid,2013
Mercedes-Benz,SL55 AMG,SL-Class,2013
Roush Performance,Stage 3 Mustang,Mustang,2013
Ford,Explorer HEV RWD,Explorer,2023
Toyota,GR Supra,GR Supra,2023
Mazda,B2200/B2600,B Pickup,2013
Ford,E150 Club Wagon,E150 Club Wagon,2013
Volvo,740/760,740/760,2013
GMC,S15 Jimmy 4WD,Jimmy,2013
Chevrolet,S10 Pickup 2WD,S10 Pickup,2013
Geo,Tracker Convertible 4WD,Tracker,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Isuzu,Impulse,Impulse,2013
Volkswagen,Corrado SLC,Corrado,2013
Buick,Encore GX FWD,Encore,2023
Buick,Envista,Envista,2024
Chrysler,LeBaron GTS,LeBaron,2013
Plymouth,Laser,Laser,2013
Volkswagen,Passat,Passat,2013
Chevrolet,C20 Pickup 2WD,C20 Pickup,2013
Dodge,B150/B250 Van 2WD,B150/B250 Van,2013
Volkswagen,Beetle,Beetle,2016
Subaru,Impreza Sport 5-Door,Impreza/Outback Sport,2016
Audi,TT Coupe quattro,TT Coupe,2017
Lexus,RX 450h AWD,RX,2013
Volkswagen,Jetta,Jetta,2013
GMC,Yukon K1500 XL 4WD,Yukon,2014
Toyota,Avalon Hybrid,Avalon,2015
Kia,Sorento 4WD,Sorento,2013
Dodge,Ram 1500 Pickup 2WD,Ram 1500 Pickup,2013
Audi,A4 Cabriolet quattro,A4,2013
Toyota,RAV4 4WD,RAV4,2013
Ford,Escort Wagon,Escort,2013
Chevrolet,Impala,Impala,2013
Jaguar,XJ8,XJ,2013
GMC,Savana 1500/2500 2WD (Passenger),Savana Passenger,2013
Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Town and Country/Voyager/Grand Voyager,2013
Ford,Expedition 2WD,Expedition,2013
GMC,C25 Pickup 2WD,Pickup,2013
Nissan,Frontier 4WD,Frontier,2013
Volkswagen,Vanagon 2WD,Vanagon,2013
Mercedes-Benz,E500,E-Class,2013
Saab,9000,9000,2013
Chevrolet,Pickup 2500 4WD,Pickup 2500,2013
GMC,Suburban 1500 4WD,Suburban,2013
Ford,Tempo,Tempo,2013
Acura,Integra,Integra,2013
Mercedes-Benz,CLK320 (Cabriolet),CLK-Class,2013
Audi,A4,A4,2013
Dodge,Caravan/Grand Caravan 2WD,Caravan/Grand Caravan,2013
Isuzu,Rodeo 2WD,Rodeo,2013
BMW,325i,3 Series,2013
GMC,Sierra 2WD,Sierra,2023
Subaru,Crosstrek Wilderness AWD,Crosstrek,2023
Infiniti,QX55 AWD,QX55,2023
Honda,Civic 5Dr,Civic,2024
Chevrolet,S10 Pickup 2WD,S10 Pickup,2013
Mitsubishi,Lancer,Lancer,2013
J.K. Motors,300SL MERC BENZ,300SL MERC BENZ,2013
Saleen,Mustang S351,Mustang,2013
Honda,CR-V 4WD,CR-V,2013
Jeep,Grand Cherokee SRT8 4WD,Grand Cherokee,2013
Lexus,GS 350 AWD,GS,2013
Mercedes-Benz,SLS AMG Coupe,SLS AMG,2013
MINI,Cooper,Cooper,2013
BMW,335i Coupe,3 Series,2013
Saab,9-3 Sport Sedan,9-3,2013
Isuzu,Pickup 2WD,Pickup,2013
Ford,E150 Econoline 2WD,E150 Econoline,2013
Chevrolet,T10 (S10) Blazer 4WD,Blazer,2013
Ford,Flex AWD,Flex,2013
GMC,Savana 2500 2WD (Passenger),Savana Passenger,2013
Buick,Regal,Regal,2013
Honda,Accord,Accord,2013
Mitsubishi,Outlander 2WD,Outlander,2013
Dodge,Journey FWD,Journey,2013
BMW,528i,5 Series,2014
Ford,F150 Pickup 2WD,F150,2014
Dodge,Dart,Dart,2015
GMC,Yukon K1500 XL 4WD,Yukon,2016
Hyundai,Veloster,Veloster,2016
Lincoln,MKT FWD,MKT,2016
Mercedes-Benz,C350e,C-Class,2016
GMC,Terrain AWD,Terrain,2017
Maserati,Levante S,Levante,2017
Mitsubishi,Outlander Sport 2WD,Outlander,2017
BMW,M850i xDrive Coupe,8 Series,2018
BMW,230i Coupe,2 Series,2019
Porsche,Panamera 4S ST,Panamera,2019
Mazda,CX-5 4WD,CX-5,2019
Audi,SQ7,SQ7,2020
Ram,1500 TRX 4WD,1500,2021
Toyota,Matrix,Matrix,2013
Toyota,Tercel Wagon,Tercel,2013
Volkswagen,Golf R,Golf/GTI,2023
Chevrolet,K2500 Pickup 4WD,K2500 Pickup,2013
Dodge,Omni,Omni,2013
Toyota,Celica,Celica,2013
GMC,Sierra 1500 2WD,Sierra,2013
Volkswagen,Passat Wagon,Passat,2013
Ford,F150 Pickup 4WD,F150,2013
Pontiac,Sunbird,Sunbird,2013
GMC,Sierra 2500 4WD,Sierra,2013
Nissan,300ZX 2x2,300ZX,2013
Toyota,Tacoma 2WD,Tacoma,2013
Mercedes-Benz,AMG GLE63 S,GLE-Class,2017
Bertone,X1/9,X1/9,2013
Porsche,911 Speedster,911,2019
Mercedes-Benz,Metris (Passenger Van),Metris Passenger,2019
Kia,Niro Plug-in Hybrid,Niro,2021
Volkswagen,Atlas Cross Sport,Atlas,2021
GMC,Sierra 4WD,Sierra,2021
Jeep,Cherokee 4WD,Cherokee,2022
Buick,Regal,Regal,2013
Dodge,Daytona,Daytona,2013
Lincoln,Navigator 2WD,Navigator,2013
Jaguar,XJR,XJR,2013
Oldsmobile,Silhouette 2WD,Silhouette,2013
Chevrolet,Tahoe 1500 2WD,Tahoe,2013
Nissan,Altra EV,Altra EV,2013
Acura,Integra,Integra,2013
GMC,Sierra 1500 4WD,Sierra,2013
Toyota,Avalon,Avalon,2013
Buick,Rendezvous AWD,Rendezvous,2013
Plymouth,Colt Vista,Colt,2013
Kia,Amanti,Amanti,2013
Kia,Sorento 4WD,Sorento,2013
Maybach,62,62,2013
Volvo,V50 FWD,V50,2013
Chevrolet,Silverado C15 2WD,Silverado,2013
Buick,Skylark,Skylark,2013
BMW,6 Series,6 Series,2013
Dodge,Charger,Charger,2013
GMC,C25 Pickup 2WD,Pickup,2013
Toyota,Camry,Camry,2013
Chevrolet,Blazer V1500 4WD,Blazer,2013
Dodge,AW100/AW150 Ramcharger 4WD,Ramcharger,2013
Chrysler,LeBaron Convertible,LeBaron,2013
Oldsmobile,Cutlass Ciera,Cutlass Ciera,2013
BMW,650i xDrive Gran Coupe,6 Series,2016
Land Rover,Range Rover Sport,Range Rover,2016
Mercedes-Benz,S560 4matic Coupe,S-Class,2018
Chevrolet,Spark ACTIV,Spark,2019
Lamborghini,Aventador Coupe,Aventador,2019
Toyota,Tacoma 4WD,Tacoma,2020
Volkswagen,GTI,Golf/GTI,2020
Land Rover,Defender 130 P400 MHEV,Defender,2022
Rolls-Royce,Ghost Extended,Ghost,2022
Lexus,NX 250 AWD,NX,2022
Chevrolet,K1500 Pickup 4WD,K1500 Pickup,2013
BMW,Z4 sDrive35i,Z4,2013
Mazda,3,3,2013
Dodge,Ram 1500 Pickup 4WD,Ram 1500 Pickup,2013
Ford,Escape Hybrid FWD,Escape,2013
Subaru,Impreza Wagon AWD,Impreza/Outback Sport,2013
Kia,K900,K900,2014
Chevrolet,Spark EV,Spark,2014
Acura,ILX,ILX,2014
Mercedes-Benz,E400 Hybrid,E-Class,2014
Oldsmobile,Cutlass Cruiser,Cutlass Cruiser,2013
Mazda,B2300/B3000/B4000 Pickup 4WD,B Pickup,2013
Eagle,Summit Wagon,Summit,2013
Plymouth,Reliant Wagon,Reliant,2013
Chevrolet,Van 1500/2500 2WD,Van 1500/2500,2013
Subaru,Brat 4WD,Brat,2013
Suzuki,Vitara 4Door,Vitara,2013
Chrysler,Sebring Convertible,Sebring,2013
Volkswagen,Jetta,Jetta,2013
Daewoo,Leganza,Leganza,2013
Kia,K5 AWD,K5,2023
Oldsmobile,Cutlass Cruiser,Cutlass Cruiser,2013
Volvo,740,740/760,2013
Chevrolet,G10/20 Sport Van 2WD,G10/20 Van,2013
GMC,K2500 Sierra 4WD,K2500 Sierra,2013
Toyota,Celica,Celica,2013
Saturn,Vue FWD,Vue,2013
BMW,Z4 Roadster,Z4,2013
Pontiac,Parisienne,Parisienne,2013
Chrysler,Sebring 4 Door,Sebring,2013
Mercury,Mariner Hybrid 4WD,Mariner,2013
Chevrolet,Colorado Crew Cab 2WD,Colorado,2013
BMW,Z4 Coupe,Z4,2013
Jeep,Commander 4WD,Commander,2013
Saturn,LW200,LW,2013
Rolls-Royce,Ghost,Ghost,2016
Toyota,Corolla LE Eco,Corolla,2016
Porsche,911 Carrera GTS,911,2016
Mazda,3 4-Door,3,2017
Nissan,Leaf SV/SL (62 kW-hr battery pack),Leaf,2019
Aston Martin,DBS,DBS,2019
Honda,Civic 2Dr,Civic,2019
Honda,HR-V AWD,HR-V,2019
BMW,X4 M Competition,X4,2020
GMC,Sierra 4WD AT4,Sierra,2020
Infiniti,Q60 Red Sport,Q60,2020
Porsche,718 Boxster S,718,2021
Lexus,LC 500 Convertible,LC,2021
Chevrolet,Corvette Z06,Corvette,2022
Subaru,Solterra AWD,Solterra,2022
Jeep,Scrambler Pickup 4WD,Scrambler Pickup,2013
Alfa Romeo,Milano,Milano,2013
BMW,128ci Convertible,1 Series,2013
Dodge,Daytona,Daytona,2013
Porsche,911 GTS,911,2013
Acura,TL 4WD,TL,2013
Nissan,Altima Coupe,Altima,2013
Volkswagen,Scirocco 16v,Scirocco,2013
Mercury,Topaz,Topaz,2013
Nissan,Armada 2WD,Armada,2013
Chevrolet,Cobalt,Cobalt,2013
Mitsubishi,Raider Pickup 4WD,Raider Pickup,2013
Pontiac,Montana SV6 AWD,Montana,2013
Chevrolet,Silverado Classic 1500 2WD,Silverado,2013
Porsche,Carrera 2 Coupe,Carrera 2 Coupe,2013
MINI,Clubman S,Clubman,2013
Mazda,6,6,2013
Porsche,928 S,928,2013
Ford,Bronco II 4WD,Bronco II,2013
BMW,430i Coupe,4 Series,2023
Volvo,C40 Recharge,C40,2023
GMC,S15 Jimmy 2WD,Jimmy,2013
Volvo,240 DL/240 GL Wagon,240,2013
Dodge,Stealth,Stealth,2013
Dodge,Shadow,Shadow,2013
Eagle,Talon,Talon,2013
Nissan,Versa,Versa,2023
Volkswagen,ID.4 AWD Pro S,ID.4,2023
Ford,LTD,LTD,2013
Daihatsu,Charade,Charade,2013
Nissan,Truck 4WD,Truck,2013
Pontiac,Trans Sport 2WD,Trans Sport/Montana,2013
Subaru,Loyale 4WD,Loyale,2013
Chrysler,LeBaron Convertible,LeBaron,2013
GMC,G15/25 Vandura 2WD,Vandura,2013
Dodge,Ramcharger 4WD,Ramcharger,2013
Suzuki,Sidekick Hardtop 4WD,Sidekick,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Wallace Environmental,Wetl 560 SEC,Wetl 560,2013
Maserati,Quattroporte,Quattroporte,2013
Chrysler,Laser/Daytona,Laser/Daytona,2013
Audi,R8,R8,2013
Rolls-Royce,Phantom Coupe,Phantom,2013
Porsche,Panamera,Panamera,2013
Nissan,Juke AWD,Juke,2013
BMW,X3 xDrive35i,X3,2013
Ford,Mustang,Mustang,2013
Dodge,Dart,Dart,2013
Mercedes-Benz,GLK350,GLK-Class,2014
Chrysler,300 AWD,300,2014
GMC,Sierra C15 2WD,Sierra,2015
GMC,R15 Pickup 2WD,Pickup,2013
GMC,Canyon 4WD,Canyon,2013
Toyota,Celica,Celica,2013
Volkswagen,CC 4motion,CC,2013
Scion,tC,tC,2013
Jaguar,XF,XF,2013
Volvo,240 DL/GL/Turbo Wagon,240,2013
GMC,K15 Pickup 4WD,Pickup,2013
GMC,Vandura G15/25 2WD,Vandura,2013
Ford,E150 Club Wagon 2WD,E150 Club Wagon,2013
Plymouth,Voyager/Grand Voyager 2WD,Voyager/Grand Voyager,2013
Honda,Prelude,Prelude,2013
Toyota,Tercel,Tercel,2013
Infiniti,Q45,Q45,2013
Ford,F150 Pickup 4WD,F150,2013
Toyota,Camry,Camry,2013
Chevrolet,S10 Pickup 4WD,S10 Pickup,2013
Buick,Skylark,Skylark,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Chevrolet,Tracker 4WD Convertible,Tracker,2013
Audi,A8 L,A8,2013
Hyundai,Accent/Brio,Accent/Brio,2013
Ford,Ranger Pickup 2WD,Ranger,2013
Chevrolet,Tahoe 1500 2WD,Tahoe,2013
Porsche,Turbo,Turbo,2013
Chevrolet,Silverado C15 2WD,Silverado,2017
Ford,F150 5.0L 2WD GVWR>7599 LBS,F150,2017
Porsche,Boxster GTS,Boxster,2017
GMC,Yukon C1500 XL 2WD,Yukon,2018
Jeep,Grand Wagoneer 4WD,Grand Wagoneer,2013
Ford,Explorer FWD,Explorer,2018
Chevrolet,Silverado C10 Cab Chassis 2WD,Silverado,2018
Nissan,GT-R,GT-R,2020
Toyota,RAV4,RAV4,2021
BMW,X1 sDrive28i,X1,2018
Aurora Cars Ltd,Aurora,Aurora,2013
Cadillac,XT4 AWD,XT4,2019
Mercedes-Benz,SLC300,SLC-Class,2019
Land Rover,Range Rover Sport MHEV,Range Rover,2020
Hyundai,Palisade AWD,Palisade,2021
Nissan,Altima AWD,Altima,2021
MINI,Cooper Countryman All4,Countryman,2022
Porsche,Cayenne GTS Coupe,Cayenne,2022
Volkswagen,Jetta,Jetta,2013
J.K. Motors,PORSCHE 928 S4,PORSCHE 928 S4,2013
Saab,900,900,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Chevrolet,Equinox FWD,Equinox,2013
Kia,Forte Koup,Forte,2013
Honda,Accord,Accord,2013
Mercedes-Benz,R350 4matic,R-Class,2013
Toyota,FJ Cruiser 4WD,FJ Cruiser,2013
BMW,740Li,7 Series,2013
Nissan,Murano FWD,Murano,2013
Aston Martin,Vantage GT,Vantage,2014
Mercedes-Benz,SL63 AMG,SL-Class,2014
Bentley,Continental GT3-R,Continental,2014
Kia,Forte 5,Forte,2015
Ford,Fiesta SFE FWD,Fiesta,2015
Toyota,Sienna AWD,Sienna,2015
Volvo,XC90 FWD,XC90,2013
Saab,9-3 Convertible,9-3,2013
Subaru,Impreza AWD,Impreza/Outback Sport,2013
Pontiac,GTO,GTO,2013
Lexus,GS 300/GS 430,GS,2013
Saab,9-5 Wagon,9-5,2013
Mazda,RX-8,RX-8,2013
Hyundai,Accent/Brio,Accent/Brio,2013
Volvo,V50 FWD,V50,2013
Volvo,V50 FWD,V50,2013
Hyundai,Santa Fe 2WD,Santa Fe,2013
Volvo,S60 AWD,S60,2013
Pontiac,Grand Prix,Grand Prix,2013
Volvo,XC90 AWD,XC90,2013
Rolls-Royce,Phantom EWB,Phantom,2013
Chevrolet,Suburban 1500 4WD,Suburban,2013
Chevrolet,Express 1500/2500 2WD,Express Passenger,2013
Dodge,Magnum AWD,Magnum,2013
Kia,Amanti,Amanti,2013
Volkswagen,Quantum,Quantum,2013
Mercury,Lynx Wagon,Lynx,2013
BMW,X5 xDrive40i,X5,2024
Chevrolet,S10 Blazer 2WD,Blazer,2013
GMC,G15/25 Rally 2WD,Rally,2013
Honda,Prelude,Prelude,2013
Toyota,Supra,Supra,2013
Volvo,240 DL/GL/turbo Wagon,240,2013
Plymouth,Laser,Laser,2013
Toyota,MR2,MR2,2013
Pontiac,Sunbird,Sunbird,2013
GMC,Safari 2WD (passenger),Safari Passenger,2013
Nissan,Pathfinder 2WD,Pathfinder,2013
Nissan,Sentra/200SX,Sentra/200SX,2013
Saturn,SL,SL,2013
Suzuki,Esteem Wagon,Esteem,2013
Chrysler,LeBaron Convertible,LeBaron,2013
Dodge,Colt,Colt,2013
Mercury,Mountaineer 4WD,Mountaineer,2013
Lexus,IS 350,IS,2016
Pontiac,Fiero,Fiero,2013
Audi,TT Roadster quattro,TT Roadster,2013
Mitsubishi,Eclipse Spyder,Eclipse,2013
Mercedes-Benz,S600,S-Class,2013
Nissan,Frontier 2WD,Frontier,2014
Hyundai,Azera Limited,Azera,2015
Chevrolet,Tracker LT 4WD,Tracker,2013
Renault,Fuego,Fuego,2013
Mercedes-Benz,CLK550 (Cabriolet),CLK-Class,2013
Toyota,Matrix,Matrix,2013
Ford,F150 Pickup 4WD,F150,2013
American Motors Corporation,Eagle 4WD,Eagle,2013
Dodge,Grand Caravan,Grand Caravan,2013
Import Trade Services,BMW 325I,BMW 325I,2013
Mercedes-Benz,GL550 4matic,GL-Class,2013
Infiniti,G37,G37,2013
BMW,Z4 sDrive35is,Z4,2013
Chevrolet,HHR FWD,HHR,2013
Hyundai,Tucson 4WD,Tucson,2013
GMC,Yukon 1500 2WD,Yukon,2013
Audi,S7,S7,2013
Suzuki,Grand Vitara 4WD,Grand Vitara,2013
Nissan,Rogue FWD,Rogue,2015
Kia,EV6 Long Range AWD (19 inch Wheels),EV6,2023
Chevrolet,C10 Pickup 2WD,C10 Pickup,2013
Buick,Regal,Regal,2013
Ford,F250 Pickup 4WD,F250,2013
Nissan,Sentra,Sentra,2013
Porsche,Carrera 2 Cabriolet Kit,Carrera 2 Cabriolet Kit,2013
GMC,Canyon Crew Cab 4WD,Canyon,2013
Nissan,Frontier V6 4WD,Frontier,2013
Oldsmobile,Silhouette 2WD,Silhouette,2013
Pontiac,Sunbird,Sunbird,2013
Dodge,Magnum 2WD,Magnum,2013
Mercedes-Benz,C230,C-Class,2013
Chevrolet,Optra Wagon,Optra,2013
Chevrolet,S10 Pickup 2WD,S10 Pickup,2013
Mercedes-Benz,S550 4matic,S-Class,2013
Nissan,Altima,Altima,2013
Nissan,Armada 4WD,Armada,2013
Buick,Skyhawk,Skyhawk,2013
Ford,E150 Econoline 2WD,E150 Econoline,2013
GMC,G15/25 Rally 2WD,Rally,2013
Mazda,CX-5 2WD,CX-5,2017
Lexus,RX 350 L AWD,RX,2018
Nissan,Pathfinder 2WD,Pathfinder,2018
Porsche,Panamera Turbo S e-Hybrid Executive,Panamera,2019
Porsche,Panamera Turbo S e-Hybrid ST,Panamera,2019
Toyota,Corolla Wagon,Corolla,2013
Plymouth,Gran Fury,Gran Fury,2013
Toyota,MR2,MR2,2013
Ford,Thunderbird,Thunderbird,2013
Buick,LeSabre,LeSabre,2013
Nissan,Titan 4WD  PRO4X,Titan,2016
Toyota,Camry Hybrid XLE/SE,Camry,2017
Dodge,Challenger SRT,Challenger,2017
Jeep,New Wrangler 4WD,Wrangler,2017
MINI,Cooper Hardtop 4 door,Cooper,2018
BMW,i8,i8,2014
Audi,A4 quattro,A4,2015
Ford,F150 Pickup 4WD,F150,2015
Jaguar,F-Type R AWD Convertible,F-Type,2016
Volkswagen,New Beetle,Beetle,2013
Acura,RSX,RSX,2013
Mazda,6,6,2013
Chevrolet,Colorado Cab Chassis inc 4WD,Colorado,2013
Chevrolet,Express 1500 2WD Passenger,Express Passenger,2013
Spyker,C8 Aileron,C8,2014
Toyota,Highlander Hybrid AWD,Highlander,2014
Ford,Mustang,Mustang,2015
Ford,F150 2.7L 2WD GVWR>6649 LBS PAYLOAD PACKAGE,F150,2015
Oldsmobile,Cutlass Calais,Cutlass Calais,2013
Dodge,Caravan/Grand Caravan/Ram Van 2WD,Caravan/Grand Caravan/Ram Van,2013
Jaguar,XJS Coupe,XJS,2013
Dodge,Ram 50 Pickup 2WD,Ram 50 Pickup,2013
Dodge,Dakota Pickup 2WD,Dakota Pickup,2013
Isuzu,Rodeo 2WD,Rodeo,2013
Dodge,Ramcharger 4WD,Ramcharger,2013
Mazda,RX-7,RX-7,2013
Alfa Romeo,Giulia,Giulia,2019
Volkswagen,Passat,Passat,2019
Porsche,911 Turbo S Cabriolet,911,2020
Porsche,Panamera Turbo S ST,Panamera,2021
Kia,Sportage Hybrid FWD,Sportage,2022
Mercedes-Benz,420SEL,420,2013
Ram,1500 HFE 2WD,1500,2023
Ford,Expedition 2WD FFV,Expedition,2013
Import Trade Services,MB 300SL,MB 300SL,2013
Chevrolet,Express 1500 2WD Conversion Cargo,Express Cargo,2013
Porsche,Boxster S,Boxster,2013
Ford,E150 Van FFV,E150 Van,2013
BMW,X5 sDrive35i,X5,2013
Ford,Edge FWD,Edge,2015
Mercury,Grand Marquis,Grand Marquis,2013
Toyota,RAV4 4WD,RAV4,2013
Honda,Civic,Civic,2013
Chevrolet,Colorado 2WD,Colorado,2013
Saturn,SKY,SKY,2013
Scion,tC,tC,2013
BMW,535i,5 Series,2013
Oldsmobile,Toronado,Toronado,2013
BMW,840i Convertible,8 Series,2023
Dodge,Ram 50 Pickup 2WD,Ram 50 Pickup,2013
Buick,Riviera,Riviera,2013
Acura,RDX 4WD,RDX,2013
Mercedes-Benz,CLS63 AMG,CLS-Class,2013
Chrysler,LeBaron Convertible,LeBaron,2013
Jaguar,XK,XK,2013
BMW,740i,7 Series,2013
Chevrolet,Colorado Cab Chassis inc 4WD,Colorado,2013
Hyundai,Tucson 2WD,Tucson,2013
Mazda,6,6,2013
GMC,Canyon Crew Cab 2WD,Canyon,2013
Mercedes-Benz,S550,S-Class,2013
Chevrolet,Corsica,Corsica,2013
Chevrolet,Traverse AWD,Traverse,2013
Honda,Accord Plug-in Hybrid,Accord,2013
Buick,Century,Century,2013
Jeep,Wrangler 4WD,Wrangler,2013
Plymouth,Caravelle,Caravelle,2013
Nissan,Frontier 2WD,Frontier,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Dodge,Charger,Charger,2013
GMC,V15 Pickup 4WD,Pickup,2013
Honda,Clarity Plug-in Hybrid,Clarity,2017
Porsche,911 Carrera 4,911,2018
Mercedes-Benz,Metris (Passenger Van),Metris Passenger,2018
Toyota,RAV4 AWD LE,RAV4,2020
Porsche,Cayman GTS,Cayman,2014
GMC,Savana 3500 2WD (Passenger),Savana Passenger,2014
BMW,330i,3 Series,2013
Honda,Accord,Accord,2013
Volkswagen,New Beetle,Beetle,2013
BMW,330xi,3 Series,2013
Hyundai,Santa Fe 2WD,Santa Fe,2013
Honda,Accord,Accord,2013
Dodge,D100/D150 Pickup 2WD,D100/D150 Pickup,2013
Ferrari,599 GTB Fiorano,599 GTB Fiorano,2013
BMW,650ci Convertible,6 Series,2013
Audi,A8 L,A8,2013
Suzuki,Equator 2WD,Equator,2013
BMW,650ci Convertible,6 Series,2013
BMW,3 Series,3 Series,2013
Mercury,Lynx,Lynx,2013
Chevrolet,El Camino Pickup 2WD,El Camino Pickup,2013
Cadillac,XT5 Limo AWD,XT5,2023
Nissan,Z NISMO,Z,2023
Toyota,Highlander Hybrid AWD,Highlander,2024
Chrysler,LeBaron,LeBaron,2013
Toyota,Truck 2WD,Truck/T100,2013
Ford,Bronco 4WD,Bronco,2013
Dodge,Spirit,Spirit,2013
Hyundai,Sonata,Sonata,2013
Jeep,Comanche Pickup 2WD,Comanche Pickup,2013
Toyota,Truck 2WD,Truck/T100,2013
Dodge,Raider 4WD,Raider,2013
Chevrolet,C1500 Pickup 2WD,C1500 Pickup,2013
Ford,Ranger Pickup 4WD,Ranger,2013
Jeep,J-10 Pickup 4WD,J-10 Pickup,2013
Toyota,Van 2WD,Van,2013
Dodge,Caliber,Caliber,2013
Mercedes-Benz,CLS63 AMG,CLS-Class,2013
Ford,Focus FWD,Focus,2013
Chevrolet,Tahoe 1500 4WD,Tahoe,2013
Dodge,Omni,Omni,2013
Honda,Civic Wagon,Civic,2013
Kia,Sedona SX,Sedona,2014
BMW,Z4 Roadster,Z4,2013
BMW,545i,5 Series,2013
GMC,Envoy 4WD,Envoy,2013
Hyundai,Santa Fe 4WD,Santa Fe,2013
Porsche,Cayman,Cayman,2013
GMC,Yukon 1500 Hybrid 4WD,Yukon,2013
Chevrolet,Suburban 1500 2WD,Suburban,2013
Toyota,Highlander Hybrid 4WD,Highlander,2013
Toyota,Cargo Van 2WD,Van,2013
GMC,Sierra 1500 4WD,Sierra,2013
Chevrolet,S10 Blazer 4WD,Blazer,2013
Toyota,Celica,Celica,2013
Volvo,850,850,2013
Nissan,Quest,Quest,2013
Chevrolet,Tracker 4WD Convertible,Tracker,2013
Saturn,SC,SC,2013
Pontiac,Grand Am,Grand Am,2013
Honda,Accord,Accord,2016
Kia,Forte 5,Forte,2016
Chevrolet,Equinox AWD,Equinox,2017
Buick,Regal AWD,Regal,2017
Nissan,Frontier 2WD,Frontier,2017
Honda,Civic Si 4Dr,Civic,2017
Lexus,NX 300,NX,2018
Fiat,500 Abarth,500,2019
Toyota,Corolla XSE,Corolla,2019
Volvo,XC90 T6 AWD,XC90,2021
Audi,RS e-tron GT,RS e-tron GT,2021
Honda,Civic,Civic,2013
GMC,Suburban 1500 2WD,Suburban,2013
Mercedes-Benz,AMG C43 4matic,C-Class,2019
Hyundai,Palisade FWD,Palisade,2020
Polestar,2 Dual Motor,2,2022
GMC,Safari 2WD Conversion (cargo),Safari Cargo,2013
Isuzu,i-280 Extended Cab 2WD,i-280 Extended Cab,2013
Rolls-Royce,Phantom,Phantom,2013
Buick,Enclave FWD,Enclave,2013
Chevrolet,Malibu Hybrid,Malibu,2013
Volvo,C30 FWD,C30,2013
Mitsubishi,Outlander Sport 2WD,Outlander,2017
Volkswagen,Jetta,Jetta,2013
Hyundai,Elantra,Elantra,2018
Audi,TT RS,TT RS,2019
Chevrolet,Express 1500/2500 2WD,Express Passenger,2013
Saab,9-3 Viggen Convertible,9-3,2013
Toyota,Celica,Celica,2013
Mercedes-Benz,CL600,CL-Class,2013
Volvo,V40,V40,2013
Oldsmobile,Silhouette 2WD,Silhouette,2013
Nissan,Titan 4WD,Titan,2013
Nissan,Frontier V6 2WD,Frontier,2013
Ford,Five Hundred AWD,Five Hundred,2013
Subaru,Outback Wagon AWD,Legacy/Outback,2013
Chevrolet,Colorado Cab Chassis inc 4WD,Colorado,2013
Toyota,Tercel,Tercel,2013
Oldsmobile,Cutlass Cruiser Wagon,Cutlass Cruiser,2013
Renault,Alliance/Encore,Alliance/Encore,2013
Eagle,Premier,Premier,2013
Subaru,Outback Wilderness AWD,Outback,2023
Import Trade Services,ITS 190E 2.3,ITS 190E 2.3,2013
Suzuki,Equator 2WD,Equator,2013
Chevrolet,Tahoe Hybrid 4WD,Tahoe,2013
Mazda,CX-7 2WD,CX-7,2013
Lexus,IS 250/IS 250C,IS,2013
Hyundai,Accent,Accent,2013
Fiat,500,500,2014
Ford,Ranger Pickup 2WD,Ranger,2013
Ferrari,FF,FF,2015
GMC,Envoy XL 4WD,Envoy,2013
GMC,Savana (cargo) (Bi-fuel),Savana Cargo,2013
Volvo,740/760,740/760,2013
BMW,530xi Sport Wagon,5 Series,2013
Subaru,Legacy AWD,Legacy/Outback,2013
Subaru,XT,XT,2013
Mercury,Grand Marquis FFV,Grand Marquis,2013
Dodge,Magnum,Magnum,2013
Nissan,300ZX,300ZX,2013
Chevrolet,K10 Blazer 4WD,Blazer,2013
Saab,9000,9000,2013
Chevrolet,Suburban 1500 4WD,Suburban,2013
Acura,Legend,Legend,2013
Isuzu,Trooper,Trooper,2013
Mazda,RX-7,RX-7,2013
Mazda,Protege,Protege,2013
GMC,Sierra 2500 2WD,Sierra,2013
Ford,Contour,Contour,2013
Ford,Taurus,Taurus,2013
Volvo,V90,V90,2013
Plymouth,Voyager/Grand Voyager 2WD,Voyager/Grand Voyager,2013
BMW,540i,5 Series,2013
Mercury,Tracer Wagon,Tracer,2013
Volvo,V70 FWD,V70,2013
Subaru,Impreza AWD,Impreza/Outback Sport,2013
Subaru,Hatchback 4WD,Hatchback,2013
Mazda,626,626,2013
Hyundai,Santa Fe 2WD,Santa Fe,2013
Mazda,CX-3 2WD,CX-3,2016
Honda,Civic 4Dr,Civic,2016
Chrysler,300,300,2017
