plant_common_name,plant_family,plant_scientific_name
Bogrush,Cyperaceae,Schoenus tendo Banks & Sol. ex Hook. f.
Wallflower Orchid,Orchidaceae,Tetramicra Lindl.
Smooth Phlox,Polemoniaceae,Phlox glaberrima L. ssp. interior (Wherry) Wherry
Privet Honeysuckle,Caprifoliaceae,Lonicera pileata Oliv.
Chinalaurel,Euphorbiaceae,Antidesma ×kapuae Rock (pro sp.)
Centella,Apiaceae,Centella L.
Field Blackberry,Rosaceae,Rubus arvensis L.H. Bailey
White Lupine,Fabaceae,Lupinus albus L.
Tracy's Mistmaiden,Hydrophyllaceae,Romanzoffia tracyi Jeps.
Bruneau Mariposa Lily,Liliaceae,Calochortus bruneaunis A. Nelson & J.F. Macbr.
Slender Watermilfoil,Haloragaceae,Myriophyllum tenellum Bigelow
Narciso Colorado,Zingiberaceae,Renealmia jamaicensis (Gaertn.) Horan.
Cartilage Lichen,Ramalinaceae,Ramalina dasypoga Tuck.
Woolly Sunflower,Asteraceae,Constancea B.G. Baldw.
Milkpea,Fabaceae,Galactia P. Br.
Palmer's Liveforever,Crassulaceae,Dudleya palmeri (S. Watson) Britton & Rose
Hasse's Thelenella Lichen,Thelenellaceae,Thelenella hassei (Zahlbr.) H. Mayrh.
Buttongrass,Poaceae,Dactyloctenium radulans (R. Br.) P. Beauv.
European Gooseberry,Grossulariaceae,Ribes uva-crispa L. var. sativum DC.
Lonestar Gumweed,Asteraceae,Grindelia adenodonta (Steyerm.) G.L. Nesom
Pallid Flatsedge,Cyperaceae,Cyperus pallidicolor (Kük.) G. Tucker
Southern Pea,Fabaceae,Vigna unguiculata (L.) Walp. ssp. unguiculata
Rockyscree False Goldenaster,Asteraceae,Heterotheca fulcrata (Greene) Shinners var. fulcrata
Nakedstem Sunray,Asteraceae,Enceliopsis nudicaulis (A. Gray) A. Nelson var. nudicaulis
Downy Prairie Clover,Fabaceae,Dalea neomexicana (A. Gray) Cory var. neomexicana
Abyssinia Entada,Fabaceae,Entada abyssinica Steud. ex A. Rich.
Beatley's Clover,Fabaceae,Trifolium andersonii A. Gray ssp. beatleyae J.M. Gillett
Siberian Melicgrass,Poaceae,Melica altissima L.
Cook's Spleenwort,Aspleniaceae,Asplenium cookii Copeland
Mielichhofer's Copper Moss,Bryaceae,Mielichhoferia mielichhoferiana (Funck) Loeske var. elongata (Hoppe & Hornsch. ex Hook.) Wijk & Margad.
Sierra Valley Evening Primrose,Onagraceae,Camissonia tanacetifolia (Torr. & A. Gray) P.H. Raven ssp. quadriperforata P.H. Raven
Sixangle Spurge,Euphorbiaceae,Euphorbia hexagona Nutt. ex Spreng.
Shasta Lupine,Fabaceae,Lupinus albicaulis Douglas var. shastensis (A. Heller) C.P. Sm.
Pyramid Moss,Funariaceae,Pyramidula Brid.
Oneseed Juniper,Cupressaceae,Juniperus monosperma (Engelm.) Sarg. var. monosperma
Tennessee Ironweed,Asteraceae,Vernonia flaccidifolia Small
Paraguayan Windmill Grass,Poaceae,Chloris canterai Arechav.
Arizona Monardella,Lamiaceae,Monardella arizonica Epling
Algerian Ivy,Araliaceae,Hedera helix L. ssp. canariensis (Willd.) Cout.
San Francisco Campion,Caryophyllaceae,Silene verecunda S. Watson ssp. platyota (S. Watson) C.L. Hitchc. & Maguire
Velvet Lupine,Fabaceae,Lupinus leucophyllus Douglas ex Lindl. ssp. erectus (L.F. Hend.) Harmon
Hall's Milkvetch,Fabaceae,Astragalus hallii A. Gray
Mycobilimbia Lichen,Porpidiaceae,Mycobilimbia Rehm
Giant Blue Cohosh,Berberidaceae,Caulophyllum giganteum (Farw.) Loconte & Blackwell
Mojave Sandwort,Caryophyllaceae,Arenaria macradenia S. Watson ssp. macradenia var. arcuifolia Maguire
Plagiothecium Moss,Plagiotheciaceae,Plagiothecium laetum Schimp.
Greenstipule Lupine,Fabaceae,Lupinus fulcratus Greene
Lance Pottia Moss,Pottiaceae,Pottia lanceolata (Hedw.) Müll. Hal.
Lange's Sedge,Cyperaceae,Carex ×langeana Fernald (pro sp.)
Hippomane,Euphorbiaceae,Hippomane L.
Heartleaf Hempvine,Asteraceae,Mikania cordata (Burm. f.) B.L. Rob. [excluded]
Alabama Croton,Euphorbiaceae,Croton alabamensis E.A. Sm. ex Chapm.
Silky Thatching Grass,Poaceae,Hyparrhenia dregeana (Nees) Stent
Bluntleaf Hayscented Fern,Dennstaedtiaceae,Dennstaedtia obtusifolia (Willd.) T. Moore
Short's Sedge,Cyperaceae,Carex shortiana Dewey
Dog Figwort,Scrophulariaceae,Scrophularia canina L. ssp. canina
Arctic Trichostomum Moss,Pottiaceae,Trichostomum arcticum Kaal.
Giant Airplant,Bromeliaceae,Tillandsia fasciculata Sw. var. densispica Mez
Lady's Slipper,Orchidaceae,Cypripedium L.
Grasswort,Apiaceae,Lilaeopsis Greene
Texas Pricklyleaf,Asteraceae,Thymophylla setifolia Lag.
Na'ena'e 'ula,Asteraceae,Dubautia raillardioides Hillebr.
Braun's Hollyfern,Dryopteridaceae,Polystichum braunii (Spenner) Fée
Danafern,Marattiaceae,Danaea Sm.
Nepalese Smartweed,Polygonaceae,Polygonum nepalense Meisn.
Green Fiddleneck,Boraginaceae,Amsinckia vernicosa Hook. & Arn.
Malperia,Asteraceae,Malperia S. Watson
Pohlia Moss,Bryaceae,Pohlia nutans (Hedw.) Lindb.
Tall Spiny Milkvetch,Fabaceae,Astragalus kentrophyta A. Gray var. elatus S. Watson
Cakalaka Berry,Solanaceae,Solanum polygamum Vahl
Least Snapdragon,Scrophulariaceae,Sairocarpus kingii (S. Watson) D.A. Sutton
Ghostweed,Urticaceae,Phenax Weddell
Arizona Spikenard,Araliaceae,Aralia humilis Cav.
Azure Penstemon,Scrophulariaceae,Penstemon azureus Benth. ssp. azureus
Heartseed,Sapindaceae,Cardiospermum microcarpum Kunth
Sweetscented Bedstraw,Rubiaceae,Galium odoratum (L.) Scop.
Hybrid Oak,Fagaceae,Quercus ×sterretii Trel.
Dotted Lichen,Bacidiaceae,Bacidia rubella (Hoffm.) A. Massal.
Starflower Brodiaea,Liliaceae,Brodiaea stellaris S. Watson
Antelopehorns,Asclepiadaceae,Asclepias asperula (Decne.) Woodson ssp. capricornu (Woodson) Woodson
Knifeleaf Condalia,Rhamnaceae,Condalia spathulata A. Gray
Lindig's Dicranella Moss,Dicranaceae,Dicranella lindigiana (Hampe) Mitt.
Coastal Plain Balm,Lamiaceae,Dicerandra linearifolia (Elliott) Benth. var. linearifolia
Ellis' Stinking Milkvetch,Fabaceae,Astragalus praelongus Sheldon var. ellisiae (Rydb.) Barneby
Great Fern,Dryopteridaceae,Diplazium expansum Willd.
Carolina Fluffgrass,Poaceae,Tridens carolinianus (Steud.) Henr.
Siberian Hazelnut,Betulaceae,Corylus heterophylla Fisch. ex Trautv.
Thickleaf Drymary,Caryophyllaceae,Drymaria pachyphylla Wooton & Standl.
Sanddune Sandmat,Euphorbiaceae,Chamaesyce carunculata (Waterf.) Shinners
Chilean Firebush,Proteaceae,Embothrium coccineum J.R. Forst. & G. Forst.
Muehlenbeck's Bryum Moss,Bryaceae,Bryum muehlenbeckii Bruch & Schimp.
California Wildrose,Rosaceae,Rosa californica Cham. & Schltdl.
Small's Blacksnakeroot,Apiaceae,Sanicula smallii E.P. Bicknell
Hoary Blackfoot,Asteraceae,Melampodium cinereum DC. var. cinereum
Attalea Palm,Arecaceae,Attalea Kunth
Flat-top Four O'clock,Nyctaginaceae,Mirabilis glabrifolia (Ortega) I.M. Johnst.
Devilthorn,Cactaceae,Echinocereus pseudopectinatus (N.P. Taylor) N.P. Taylor
Phylliscum Lichen,Lichinaceae,Phylliscum tenue Henssen
Hulten's Saxifrage,Saxifragaceae,Saxifraga lyallii Engl. ssp. hultenii (Calder & Savile) Calder & Roy L. Taylor
Bolander's Water-starwort,Callitrichaceae,Callitriche heterophylla Pursh ssp. bolanderi (Hegelm.) Calder & Roy L. Taylor
Florida Thoroughwort,Asteraceae,Eupatorium anomalum Nash
Poverty Dropseed,Poaceae,Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood var. vaginiflorus
Shiny Goldenrod,Asteraceae,Oligoneuron nitidum (Torr. & A. Gray) Small
Woodland Poppymallow,Malvaceae,Callirhoe papaver (Cav.) A. Gray
Missouri Milkvetch,Fabaceae,Astragalus missouriensis Nutt.
Southern Butterwort,Lentibulariaceae,Pinguicula primuliflora Alph. Wood & Godfrey
Simpleleaf Chastetree,Verbenaceae,Vitex trifolia L. var. subtrisecta (Kuntze) Moldenke
Showy Spleenwort,Aspleniaceae,Asplenium formosum Willd.
Ellis' Shootingstar,Primulaceae,Dodecatheon dentatum Hook. ssp. ellisiae (Standl.) H.J. Thomp.
Bluebead,Liliaceae,Clintonia borealis (Aiton) Raf.
Mountain-avens,Rosaceae,Dryas L.
Amur Daylily,Liliaceae,Hemerocallis middendorffii Trautv. & C.A. Mey.
Lescuraea Moss,Leskeaceae,Lescuraea Schimp.
Bush's Purple Coneflower,Asteraceae,Echinacea paradoxa (J.B.S. Norton) Britton
Rose-coneflower,Proteaceae,Isopogon dubius (R. Br.) Druce
Hairy Canary-clover,Fabaceae,Dorycnium hirsutum (L.) Ser.
Shasta Lecania Lichen,Bacidiaceae,Lecania shastensis Herre
Tenterfield Woollybutt,Myrtaceae,Eucalyptus banksii Maiden
Clustered Goldenweed,Asteraceae,Pyrrocoma racemosa (Nutt.) Torr. & A. Gray var. paniculata (Nutt.) Kartesz & Gandhi
Bracted Sulphur Lichen,Teloschistaceae,Fulgensia bracteata (Hoffm.) Rasanen
Pink,Caryophyllaceae,Petrorhagia (Ser.) Link
Whitehead Navarretia,Polemoniaceae,Navarretia leucocephala Benth. ssp. leucocephala
Traveler's Tree,Strelitziaceae,Ravenala madagascariensis Sonnerat
Bahama Fimbry,Cyperaceae,Fimbristylis inaguensis Britton
Point Reyes Ceanothus,Rhamnaceae,Ceanothus gloriosus J.T. Howell var. gloriosus
Climbing Aster,Asteraceae,Ampelaster carolinianus (Walter) G.L. Nesom
Yakama Biscuitroot,Apiaceae,Lomatium tamanitchii Darrach & Thie
Plateau Spiderwort,Commelinaceae,Tradescantia edwardsiana Tharp
Santa Cruz Desertdandelion,Asteraceae,Malacothrix squalida Greene
California Threeawn,Poaceae,Aristida californica Thurb. ex S. Watson
Sherman Hoyt Woolstar,Polemoniaceae,Eriastrum pluriflorum (A. Heller) H. Mason ssp. sherman-hoytae (Craig) H. Mason
Nuttall's Horsebrush,Asteraceae,Tetradymia nuttallii Torr. & A. Gray
Mill Creek Agoseris,Asteraceae,Agoseris lackschewitzii Douglass M. Hend. & R. Moseley
Pingpong-ball Cactus,Cactaceae,Epithelantha micromeris (Engelm.) F.A.C. Weber ex Britton & Rose
Snowbed Sedge,Cyperaceae,Carex rufina Drejer
Spinystar,Cactaceae,Escobaria vivipara (Nutt.) Buxbaum
Brownturbans,Asteraceae,Malperia tenuis S. Watson
Detling's Silverpuffs,Asteraceae,Microseris laciniata (Hook.) Sch. Bip. ssp. detlingii K.L. Chambers
Depressed Shrubverbena,Verbenaceae,Lantana depressa Small var. depressa
Morefield's Neststraw,Asteraceae,Stylocline intertexta Morefield
Smallflower Lilythorn,Rubiaceae,Catesbaea parviflora Sw.
Addison's Leather Flower,Ranunculaceae,Clematis addisonii Britton
Prickly Hornwort,Ceratophyllaceae,Ceratophyllum muricatum Cham. ssp. australe (Griseb.) D.H. Les
Tobacco,Solanaceae,Nicotiana glutinosa L.
Rodwood,Myrtaceae,Myrcia DC. ex Guill.
Lampranthus,Aizoaceae,Lampranthus N.E. Br.
Wiegand's Willow,Salicaceae,Salix ×wiegandii Fernald
Red Swampfire,Chenopodiaceae,Salicornia rubra A. Nelson
Alabama Warbonnet,Asteraceae,Jamesianthus alabamensis S.F. Blake & Sherff
Virginia Spiderwort,Commelinaceae,Tradescantia virginiana L.
West Indian Woodnettle,Urticaceae,Laportea aestuans (L.) Chew
Large Camas,Liliaceae,Camassia leichtlinii (Baker) S. Watson
San Gabriel Manzanita,Ericaceae,Arctostaphylos gabrielensis P.V. Wells
Sessileleaf False Oxtongue,Asteraceae,Blumea sessiliflora Decne.
Orange Fameflower,Portulacaceae,Phemeranthus aurantiacus (Engelm.) Kiger
Spurge,Euphorbiaceae,Euphorbia ×gayeri Boros & Soó ex Soó
Coleogyne,Rosaceae,Coleogyne Torr.
Prickly Lettuce,Asteraceae,Lactuca serriola L.
False Helmetorchid,Orchidaceae,Erythrodes Blume
Pouteria,Sapotaceae,Pouteria viridis (Pittier) Cronquist
Yellow Thimbleweed,Ranunculaceae,Anemone richardsonii Hook.
Son's Buckwheat,Polygonaceae,Eriogonum natum Reveal
Bristlecup Sandmat,Euphorbiaceae,Chamaesyce chaetocalyx (Boiss.) Wooton & Standl.
Hoary Manzanita,Ericaceae,Arctostaphylos canescens Eastw. ssp. canescens
Wherry's Catchfly,Caryophyllaceae,Silene caroliniana Walter ssp. wherryi (Small) R.T. Clausen
Cutleaf Coneflower,Asteraceae,Rudbeckia laciniata L.
Dwarf Hesperochiron,Hydrophyllaceae,Hesperochiron pumilus (Douglas ex Griseb.) Porter
Hilograss,Poaceae,Paspalum conjugatum P.J. Bergius
Intermountain Clover,Fabaceae,Trifolium andinum Nutt. var. podocephalum Barneby
Smooth Woodyaster,Asteraceae,Xylorhiza glabriuscula Nutt. var. glabriuscula
Austin's Beardtongue,Scrophulariaceae,Penstemon floridus Brandegee var. austinii (Eastw.) N.H. Holmgren
Silverpuff,Asteraceae,Chaptalia texana Greene
Sticky Cinquefoil,Rosaceae,Potentilla glandulosa Lindl. ssp. glabrata (Rydb.) D.D. Keck
Volga Fescue,Poaceae,Festuca valesiaca Schleich. ex Gaudin ssp. valesiaca
Roccellina Lichen,Roccellaceae,Roccellina conformis Tehler
El Paso Blazingstar,Loasaceae,Mentzelia saxicola H.J. Thomp. & Zavort.
Monkshoodvine,Vitaceae,Ampelopsis aconitifolia Bunge
Hawthorn,Rosaceae,Crataegus ×incaedua Sarg. (pro sp.)
Mahua,Sapotaceae,Madhuca longifolia (J. Konig) J.F. Macbr.
Limestone Maiden Fern,Thelypteridaceae,Thelypteris hildae Proctor
Poit's Vanilla,Orchidaceae,Vanilla poitaei Rchb. f.
Limewater Brookweed,Primulaceae,Samolus ebracteatus Kunth ssp. alyssoides (A. Heller) R. Knuth
Winter-flowering Cherry,Rosaceae,Prunus subhirtella Miq.
Rusty Hawthorn,Rosaceae,Crataegus rufula Sarg.
Queen's-wreath,Verbenaceae,Petrea volubilis L.
Hybrid Cherry,Rosaceae,Prunus ×yedoensis Matsum. (pro sp.)
Willamette Fleabane,Asteraceae,Erigeron decumbens Nutt.
Interior Live Oak,Fagaceae,Quercus wislizeni A. DC. var. frutescens Engelm.
Muir's Fleabane,Asteraceae,Erigeron muirii A. Gray
Apetalous Catchfly,Caryophyllaceae,Silene uralensis (Rupr.) Bocquet ssp. ogilviensis (A.E. Porsild) Brunton
Ewan's Larkspur,Ranunculaceae,Delphinium hansenii (Greene) Greene ssp. ewanianum Warnock
Tiplant,Liliaceae,Cordyline fruticosa (L.) A. Chev
Apple,Rosaceae,Malus ×magdeburgensis Hartwig
Pink Wintergreen,Pyrolaceae,Pyrola asarifolia Michx. ssp. bracteata (Hook.) Haber
Velezia,Caryophyllaceae,Velezia L.
Sedge,Cyperaceae,Carex L.
Lake Willow Dock,Polygonaceae,Rumex salicifolius Weinm. var. lacustris (Greene) J.C. Hickman
Mound Phlox,Polemoniaceae,Phlox griseola Wherry ssp. tumulosa Wherry
Italian Toadflax,Scrophulariaceae,Linaria angustissima (Loisel.) Borbás [excluded]
Widow's Sedge,Cyperaceae,Carex distenta Kunze
Cossatot Mountain Leafcup,Asteraceae,Polymnia cossatotensis Pittman & V.M. Bates
Saltmarsh Bird's-beak,Scrophulariaceae,Cordylanthus maritimus Nutt. ex Benth. ssp. canescens (A. Gray) T.I. Chuang & Heckard
Mount Shasta Jacob's-ladder,Polemoniaceae,Polemonium pulcherrimum Hook. var. shastense (Eastw.) Stubbs
Stokes' Aster,Asteraceae,Stokesia laevis (Hill) Greene
Mycoglaena,Uncertain Ascomycota Family,Mycoglaena meridionalis (Zahlbr.) Szat.
Cook's Triteleia,Liliaceae,Triteleia ixioides (W.T. Aiton) Greene ssp. cookii (Hoover) Lenz
Hualalai Bur Cucumber,Cucurbitaceae,Sicyos lasiocephalus Skottsb.
Great Basin Popcornflower,Boraginaceae,Plagiobothrys kingii (S. Watson) A. Gray
Oahu Cyrtandra,Gesneriaceae,Cyrtandra laxiflora H. Mann
Big Tarweed,Asteraceae,Blepharizonia plumosa (Kellogg) Greene ssp. plumosa
Curlycup Gumweed,Asteraceae,Grindelia squarrosa (Pursh) Dunal var. squarrosa
Rim Lichen,Lecanoraceae,Lecanora acroides Vain.
Lecidea Lichen,Lecideaceae,Lecidea lapicida (Ach.) Ach.
Red Elderberry,Caprifoliaceae,Sambucus racemosa L. var. racemosa
Wormseed Sandmat,Euphorbiaceae,Chamaesyce vermiculata (Raf.) House
New York Ironweed,Asteraceae,Vernonia noveboracensis (L.) Michx.
Pitcherplant,Sarraceniaceae,Sarracenia ×formosa Veitch ex Masters
Yü-shan Raspberry,Rosaceae,Rubus hayata-koidzumii Naruh.
Spotted Sandmat,Euphorbiaceae,Chamaesyce maculata (L.) Small
Palisota,Commelinaceae,Palisota bracteosa C.B. Clarke
Bloody Geranium,Geraniaceae,Geranium sanguineum L.
King's Sandwort,Caryophyllaceae,Arenaria kingii (S. Watson) M.E. Jones
West Indian Dutchman's Pipe,Aristolochiaceae,Aristolochia bilabiata L.
Lemon Beebalm,Lamiaceae,Monarda citriodora Cerv. ex Lag.
Scaleleaf False Foxglove,Scrophulariaceae,Agalinis aphylla (Nutt.) Raf.
Humboldt's Lily,Liliaceae,Lilium humboldtii Roezl & Leichtlin ex Duch. ssp. humboldtii
Bitter Ginger,Zingiberaceae,Zingiber zerumbet (L.) Sm.
Threadstalk Speedwell,Scrophulariaceae,Veronica filiformis Sm.
Kauai Delissea,Campanulaceae,Delissea rhytidosperma H. Mann
Steerecleus Moss,Brachytheciaceae,Steerecleus H. Rob.
Annona,Annonaceae,Annona purpurea Moc. & Sessé ex Dunal
Snowbush,Euphorbiaceae,Breynia disticha J.R. Forst. & G. Forst.
Mt. Eke Pritchardia,Arecaceae,Pritchardia forbesiana Rock
Yerba De Culebra,Scrophulariaceae,Bacopa stricta (Schrad.) B.L. Rob.
Maricao Cimun,Malpighiaceae,Byrsonima crassifolia (L.) Kunth
Ralm,Loganiaceae,Neuburgia celebica (Koord.) Leenh.
Sky Lupine,Fabaceae,Lupinus nanus Douglas ex Benth. ssp. latifolius (Benth. ex Torr.) D. Dunn
Beaksedge,Cyperaceae,Rhynchospora Vahl
Timopheev's Wheat,Poaceae,Triticum timopheevii (Zhuk.) Zhuk.
Bloodflower,Asclepiadaceae,Asclepias curassavica L.
Pointedleaf Ticktrefoil,Fabaceae,Desmodium glutinosum (Muhl. ex Willd.) Alph. Wood
Entireleaf Nitrogen Moss,Splachnaceae,Tetraplodon mnioides (Hedw.) Bruch & Schimp.
Dwarf Huckleberry,Ericaceae,Gaylussacia dumosa (Andrews) Torr. & A. Gray
Darkthroat Shootingstar,Primulaceae,Dodecatheon pulchellum (Raf.) Merr. ssp. macrocarpum (A. Gray) Roy L. Taylor & MacBryde
Sargent Juniper,Cupressaceae,Juniperus chinensis L. var. sargentii A. Henry
Musk Okra,Malvaceae,Abelmoschus moschatus Medik.
Swamp Justiceweed,Asteraceae,Eupatorium paludicola E.E.Schill. & LeBlond
Idria Buckwheat,Polygonaceae,Eriogonum vestitum J.T. Howell
Laurel-leaf Snailseed,Menispermaceae,Cocculus laurifolius (Roxb.) DC.
Bartlettia,Asteraceae,Bartlettia A. Gray
Felt Lichen,Peltigeraceae,Peltigera praetextata (Flörke ex Sommerf.) Zopf
Bulbil Onion,Liliaceae,Allium geyeri S. Watson var. tenerum M.E. Jones
Tropical Bog Orchid,Orchidaceae,Habenaria monorrhiza (Sw.) Rchb. f.
Glandular Senna,Fabaceae,Senna multiglandulosa (Jacq.) Irwin & Barneby
Toadflax Beardtongue,Scrophulariaceae,Penstemon linarioides A. Gray ssp. linarioides
Racopilum Moss,Racopilaceae,Racopilum P. Beauv.
Indian Spurgetree,Euphorbiaceae,Euphorbia neriifolia L.
Nye Gilia,Polemoniaceae,Aliciella nyensis (Reveal) J.M. Porter
Pointed Cryptantha,Boraginaceae,Cryptantha muricata (Hook. & Arn.) A. Nelson & J.F. Macbr.
Spanish False Fleabane,Asteraceae,Pulicaria paludosa Link
Smallflower Creepingoxeye,Asteraceae,Wedelia parviflora Rich.
Myoporum,Myoporaceae,Myoporum Sol. ex G. Forst.
Mohihi,Lamiaceae,Stenogyne scrophularioides Benth.
Pacific False Bindweed,Convolvulaceae,Calystegia purpurata (Greene) Brummitt
Inyo Phacelia,Hydrophyllaceae,Phacelia inyoensis (J.F. Macbr.) J.T. Howell
Ross' Sandwort,Caryophyllaceae,Minuartia rossii (R. Br. ex Richardson) Graebn.
Disc Lichen,Physciaceae,Buellia capitis-regnum W.A. Weber
Chaparral Willowherb,Onagraceae,Epilobium minutum Lindl. ex Lehm.
Smut Grass,Poaceae,Sporobolus indicus (L.) R. Br. var. major (Buse) Baaijens
Paradisetree,Simaroubaceae,Simarouba glauca DC.
White Avens,Rosaceae,Geum canadense Jacq.
Harlequinbush,Onagraceae,Gaura hexandra Ortega
Indian Marshweed,Scrophulariaceae,Limnophila indica (L.) Druce
Hairy Indigo,Fabaceae,Indigofera hirsuta L.
Australian Cheesewood,Pittosporaceae,Pittosporum undulatum Vent.
Wasatch Aster,Asteraceae,Eurybia wasatchensis (M.E. Jones) G.L. Nesom
Flaxleaf Monardella,Lamiaceae,Monardella linoides A. Gray ssp. stricta (Parish) Epling
Beyrich's Fleabane,Asteraceae,Erigeron strigosus Muhl. ex Willd. var. beyrichii (Fisch. & C.A. Mey.) Torr. & A. Gray ex A. Gray
Argentine Pepperweed,Brassicaceae,Lepidium bonariense L.
Texas Broomweed,Asteraceae,Amphiachyris amoena (Shinners) Solbrig
Splitawn Sedge,Cyperaceae,Carex tumulicola Mack.
Beach Pea,Fabaceae,Lathyrus japonicus Willd. var. pellitus Fernald
Cabbage On A Stick,Campanulaceae,Brighamia insignis A. Gray
Greene's Hawkweed,Asteraceae,Hieracium greenei A. Gray
Oregon Checkerbloom,Malvaceae,Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray
California Topelia Lichen,Stictidaceae,Topelia californica P.M. Jørg. & Vezda
Spadeleaf,Apiaceae,Centella asiatica (L.) Urb.
Glaucus Willowherb,Onagraceae,Epilobium glaberrimum Barbey ssp. fastigiatum (Nutt.) Hoch & P.H. Raven
Littleleaf Buckbrush,Rhamnaceae,Ceanothus microphyllus Michx.
Japanese Skimmia,Rutaceae,Skimmia japonica Thunb.
Carite Babyboot Orchid,Orchidaceae,Lepanthes caritensis Tremblay & Ackerman
Tuerckheimia Moss,Pottiaceae,Tuerckheimia angustifolia (K. Saito) R.H. Zander
Holy Basil,Lamiaceae,Ocimum tenuiflorum L.
Wormvine Orchid,Orchidaceae,Vanilla barbellata Rchb. f.
Variableleaf Yellowcress,Brassicaceae,Rorippa indica (L.) Hiern. var. indica
Thread Lichen,Lichinaceae,Ephebe solida Bornet
Plectocarpon Lichen,Roccellaceae,Plectocarpon Fée
Dwarf Russian Almond,Rosaceae,Prunus tenella Batsch
Cardionema,Caryophyllaceae,Cardionema DC.
Honeysuckle,Caprifoliaceae,Lonicera chrysantha Turcz. ex Ledeb.
Lyre Shell Lichen,Arthopyreniaceae,Arthopyrenia lyrata R.C. Harris
Puncturevine,Zygophyllaceae,Tribulus terrestris L.
Mexican Arrowwood,Caprifoliaceae,Viburnum australe Morton
Richardson's Phlox,Polemoniaceae,Phlox richardsonii Hook.
Shrubby Honeysweet,Amaranthaceae,Tidestromia suffruticosa (Torr.) Standl.
Roble Amarillo,Bignoniaceae,Tabebuia chrysantha (Jacq.) G. Nicholson
Aleutian Avens,Rosaceae,Geum pentapetalum (L.) Makino
Alpine Bladderpod,Brassicaceae,Lesquerella alpina (Nutt.) S. Watson var. alpina
Creeping-bluet,Rubiaceae,Oldenlandiopsis Terrell & W.H. Lewis
Flavopunctelia Lichen,Parmeliaceae,Flavopunctelia (Krog) Hale
Hedgehog Cactus,Cactaceae,Echinocereus Engelm.
Crimson Bluestem,Poaceae,Schizachyrium sanguineum (Retz.) Alston var. sanguineum
Small-leaf Climbing Fern,Lygodiaceae,Lygodium microphyllum (Cav.) R. Br.
Manila Grass,Poaceae,Zoysia matrella (L.) Merr.
Silky Lupine,Fabaceae,Lupinus sericeus Pursh ssp. sericeus var. egglestonianus C.P. Sm.
Trema,Ulmaceae,Trema Lour.
Woolly Locoweed,Fabaceae,Astragalus mollissimus Torr. var. mogollonicus (Greene) Barneby
Burrobrush,Asteraceae,Hymenoclea salsola Torr. & A. Gray var. salsola
Russian Rocket,Brassicaceae,Sisymbrium turczaninowii Sonder
Disc Lichen,Physciaceae,Buellia coccinea (Fée) Aptroot
Slimflower Lovegrass,Poaceae,Eragrostis gangetica (Roxb.) Steud.
Compact Conardia Moss,Amblystegiaceae,Conardia compacta (Müll. Hal.) H. Rob.
Great Coneflower,Asteraceae,Rudbeckia maxima Nutt.
Handsome Beardtongue,Scrophulariaceae,Penstemon lentus Pennell var. albiflorus (D.D. Keck) Reveal
Summer Lupine,Fabaceae,Lupinus formosus Greene
Black Edge Sedge,Cyperaceae,Carex nigromarginata Schwein.
Willamette Valley Bittercress,Brassicaceae,Cardamine penduliflora O.E. Schulz
Tropical Nutrush,Cyperaceae,Scleria microcarpa Nees ex Kunth
Waianae Range Alsinidendron,Caryophyllaceae,Alsinidendron obovatum Sherff
Southern Sierra Pincushion,Asteraceae,Chaenactis alpigena Sharsm.
Lomatogonium,Gentianaceae,Lomatogonium A. Braun
Silverleaf Sunflower,Asteraceae,Helianthus argophyllus Torr. & A. Gray
Orange Lichen,Teloschistaceae,Caloplaca atroflava (Turner) Mong.
Purple Bird's-beak,Scrophulariaceae,Cordylanthus parviflorus (Ferris) Wiggins
Pogonatum Moss,Polytrichaceae,Pogonatum P. Beauv.
Pennsylvania Rush,Juncaceae,Juncus gymnocarpus Coville
Coontie,Zamiaceae,Zamia pumila L. ssp. pygmaea (Sims) Eckenwalder
Northern Mountain Cranberry,Ericaceae,Vaccinium vitis-idaea L. ssp. minus (Lodd.) Hultén
Velvet Crabgrass,Poaceae,Digitaria velutina (Forssk.) P. Beauv.
Showy Nerveray,Asteraceae,Tetragonotheca repanda (Buckley) Small
Big Horseshoe Lake Dewberry,Rosaceae,Rubus stipulatus L.H. Bailey
Alpine False Ohelo,Thymelaeaceae,Wikstroemia bicornuta Hillebr.
Fendler's Bladderpod,Brassicaceae,Lesquerella fendleri (A. Gray) S. Watson
Rio Grande Nailwort,Caryophyllaceae,Paronychia congesta Correll
Lakecress,Brassicaceae,Neobeckia Greene
Henry's Spiderlily,Liliaceae,Hymenocallis henryae Traub var. glaucifolia J.N. Henry & G. Lom. Sm.
'ohe Mauka,Araliaceae,Tetraplasandra oahuensis (A. Gray) Harms
Manyleg Knotweed,Polygonaceae,Polygonum polycnemoides Jaubert & Spach
Ahart's Nailwort,Caryophyllaceae,Paronychia ahartii Ertter
Indian Blanket,Asteraceae,Gaillardia pulchella Foug. var. picta (D. Don) A. Gray
Rosy Owl's-clover,Scrophulariaceae,Orthocarpus bracteosus Benth.
Kona Cheesewood,Pittosporaceae,Pittosporum hosmeri Rock
Torchwood,Rutaceae,Amyris P. Br.
False Goat's Beard,Saxifragaceae,Astilbe Buch.-Ham. ex D. Don
